video_number,filename,title,youtube_source_title,content_type,is_backtestable,action,cluster_id,cluster_name,is_duplicate,duplicate_of_video,module_to_code,core_concept,reference_range_candle,entry_model,htf_timeframes,ltf_timeframes,session_time_filter,asset_focus,notes,implementation_status,strategy_module_id,strategy_folder,strategy_registry_id,coded_at,backtested_at,instruments_tested_count,anti_bias_review_passed,anti_bias_notes,backtest_error,data_source,data_root_used,bt_total_trades_all,bt_win_rate_all,bt_profit_factor_all,bt_max_drawdown_pct_all,bt_total_pnl_all,bt_sharpe_ratio_all,bt_avg_rr_all,best_instrument,best_instrument_pf,best_instrument_win_rate,best_instrument_pnl,best_instrument_trades,worst_instrument,instrument_affinity_notes
1,video_01_Orderflow_and_Volume_Profile_Da.md,Orderflow and Volume Profile Day Trading Strategy,"How I Made $14,068 Day Trading With Orderflow",strategy,yes,CODE-CANONICAL,A,VP + Orderflow Absorption,no,,vp_orderflow_absorption,Fade absorption at developing VP extremes when aggressive orders fail at wicks and price inverts order clusters,NY open developing VP (VWAP/POC/VAH/VAL),Orderflow absorption + order-cluster inversion,Daily VP,1M,Post 9:30 NY,NQ,Canonical for cluster A,coded_pending_production_backtest,vp_orderflow_absorption,strategies/vp_orderflow_absorption/,s001_vp_orderflow_absorption,2026-06-17T13:07:45+00:00,,0,yes,M1 signals on bar close; developing VP from past session bars only; NY sessions via zoneinfo; HTF feed uses bar-close rule in data_feed; params from video spec (no post-backtest tuning).,,pending_exness_production,O:\D temp\UltimateTradeBot\Data\Exness\structured\history,,,,,,,,,,,,,,
2,video_02_Volume_Profile_and_Orderflow_Re.md,Volume Profile and Orderflow Reversal Strategy,Volume Profile + Orderflow = Profit,strategy,yes,DUPLICATE-SKIP,A,VP + Orderflow Absorption,yes,1,vp_orderflow_absorption,Fade failed auctions at overnight VP VAH/VAL with wick absorption and order-box reclaim,Overnight VP 18:00-9:30 NY,L2 absorption + box reclaim,Overnight VP,1M,NY session,NQ,Overnight VP variant of A,,,,,,,0,,,,,,,,,,,,,,,,,,,
3,video_03_One-Minute_Liquidity_Sweep_Trad.md,One-Minute Liquidity Sweep Trading Strategy,Secret ICT Liquidity Sweep Trading Strategy With Insane Winrate!,strategy,yes,DUPLICATE-SKIP,B,1M Range Sweep + HTF DOL,yes,54,range_sweep_mss,1M range-bound liquidity sweep with HTF orderflow and DOL alignment; invalidate if opposite range breaks first,1M fractal range after internal MSS,Liquidity sweep + CISD or IFVG,5M/15M bias; 1H/4H DOL,1M,9:30-14:00 NY,NQ,1M+HTF DOL variant of range sweep; hyperparams on Q module,,,,,,,,,,,,,,,,,,,,,,,,,,
4,video_04_Gold_Fixed_Range_Volume_Profile.md,Gold Fixed Range Volume Profile Scalping Strategy,The Easiest Gold Volume Profile Trading Strategy That Works!,strategy,yes,CODE-CANONICAL,C,Gold London VP Failed Auction,no,,gold_london_vp_failed_auction,5M Gold London 3-7AM FRVP failed auction or P/B-shape breakout,London FRVP 3:00-7:00 AM NY,5M reclaim close at VAH/VAL,5M only,5M,London profile; NY execution,Gold,Exact duplicate concept with video 10,,,,,,,,,,,,,,,,,,,,,,,,,,
5,video_05_Macro_Volume_Profile_and_ICT_Co.md,Macro Volume Profile and ICT Confluence Strategy,Volume Profile + ICT = Easy Profit,strategy,yes,CODE-CANONICAL,D,Multi-VP + 1M ICT,no,,multi_vp_ict,5M failed auctions at stacked weekly/daily/overnight VP with 1M ICT confirmation,Multi VP (week/day/overnight),CISD / IFVG / MSS / breaker on 1M,Week/day/ON VP,5M -> 1M,NY developing profile,NQ,Unique stacked VP confluence,,,,,,,,,,,,,,,,,,,,,,,,,,
6,video_06_Strategy_1_Fractal-Based_Inversion_Order_Flow_Str.md,Fractal-Based Inversion Order Flow Strategy,The Only Trading Strategy I'd Use If I Had To Start Over (Stupid Simple),strategy,yes,CODE-CANONICAL,E,HTF FVG Inversion Stack,no,,htf_fvg_inversion,With 1H orderflow and 4H DOL set; post-9:30 invert all micro-FVGs inside 5M/15M FVG,Post-9:30 5M/15M FVG,1M FVG inversion stack,1H/4H,5M/15M -> 1M,After 9:30 NY,NQ/ES,Canonical for HTF FVG inversion family,,,,,,,,,,,,,,,,,,,,,,,,,,
7,video_07_Strategy_2_Intraday_8_AM_Candle_Liquidity_Strategy.md,Intraday 8 AM Candle Liquidity Strategy,Strategy 2 from course,strategy,yes,DUPLICATE-SKIP,F,8AM One-Candle Sweep,yes,42,one_candle_8am,Sweep 8AM 1H high/low plus adjacent swing/FVG; 1M MSS/CISD with close back inside 8AM range,8AM 1H candle,MSS/CISD + FVG/OB,1H,1M,Pre/post 9:30 NY,NQ,Duplicate of 8AM one-candle; see V42,,,,,,,,,,,,,,,,,,,,,,,,,,
8,video_08_Strategy_3_Volume_Profile_Auction_Breakout_Strate.md,Volume Profile Auction Breakout Strategy,The Only Volume Profile Strategy You'll Ever Need! (FULL COURSE),strategy,yes,CODE-CANONICAL,G,VP Failed Auction / Breakout,no,,vp_failed_auction_generic,VP D/P/B shape chooses failed-auction fade vs acceptance breakout; 1M absorption confirm,Session FRVP (Asia or prior day),5M reclaim or breakout + 1M absorption,5M,5M -> 1M,Asia / intraday,NQ,Generic VP auction model,,,,,,,,,,,,,,,,,,,,,,,,,,
9,video_09_Strategy_4_Daily_Power_of_Three_PO3_Strategy.md,Daily Power of Three (PO3) Strategy,I Simplified ICT PO3.. And It Actually Works!,strategy,yes,DUPLICATE-SKIP,H,10AM 4H PO3 / AMD,yes,31,po3_10am_4h,10AM 4H open manipulation at 15M swing/FVG with SMT; 1M CISD/breaker; Fib -2/-2.5 targets,10AM 4H PO3; 6AM vs 2AM bias,SMT + CISD / breaker,4H,15M -> 1M,10AM 4H window,NQ/ES,Duplicate of 10AM PO3 family,,,,,,,,,,,,,,,,,,,,,,,,,,
10,video_10_Strategy_5_Gold_Scalping_Failed_Auction_Strategy.md,Gold Scalping Failed Auction Strategy,ICT Not Working? Use This Gold Trading Strategy Instead..,strategy,yes,DUPLICATE-SKIP,C,Gold London VP Failed Auction,yes,4,gold_london_vp_failed_auction,Same as V04: 5M Gold London 3-7AM VP failed auction,London FRVP 3-7AM NY,5M reclaim close,5M only,5M,Post 7AM,Gold,Exact duplicate of video 04,,,,,,,,,,,,,,,,,,,,,,,,,,
